Name,Trader,Trader price,Flea avg (24h),Gap %,Category
Bottle of YMXC water,Therapist,33777,29393,-13.0,provisions
RAM stick,Therapist,19890,17811,-10.5,barter
6-STEN-140-M military battery,Therapist,168300,158784,-5.7,barter
Deadlyslob's beard oil,Therapist,28278,26906,-4.9,barter
LM KC-130 model aircraft,Therapist,46188,44095,-4.5,barter
DesmondPilak CD,Therapist,27260,26074,-4.4,barter
Leupold Mark 5HD 5-25x56mm 35mm riflescope (FDE),Jaeger,49213,47292,-3.9,sights
Walking Tank figurine,Therapist,51000,49313,-3.3,barter
Press pass (issued for NoiceGuy),Therapist,25500,24791,-2.8,barter
Ragman figurine,Therapist,51000,49649,-2.6,barter
AHF1-M stimulant injector,Therapist,23205,22630,-2.5,meds
Therapist figurine,Therapist,51000,49773,-2.4,barter
Leupold Mark 4 LR 6.5-20x50 30mm riflescope,Jaeger,28118,27452,-2.4,sights
P22 (Product 22) stimulant injector,Therapist,20553,20106,-2.2,meds
LVNDMARK's rat poison,Therapist,25954,25452,-1.9,barter
Tamatthi kunai knife replica,Therapist,43677,42985,-1.6,barter
Raven figurine,Therapist,24480,24139,-1.4,barter
Politician Mutkevich figurine,Therapist,51000,50310,-1.4,barter
French bakery baguette,Therapist,38424,37892,-1.4,provisions
BEAR Buddy plush toy,Therapist,44217,43710,-1.1,barter
PNB (Product 16) stimulant injector,Therapist,33303,32924,-1.1,meds
Golden 1GPhone smartphone,Therapist,22765,22536,-1.0,barter
Analog thermometer,Therapist,23256,23040,-0.9,barter
Peacekeeper figurine,Therapist,51000,50584,-0.8,barter
Fuel conditioner,Therapist,30908,30723,-0.6,barter
Pipe grip wrench,Therapist,67320,67008,-0.5,barter
Old firesteel,Therapist,32335,32199,-0.4,barter
Mechanic figurine,Therapist,51000,50857,-0.3,barter
xTG-12 antidote injector,Therapist,41106,41007,-0.2,meds
Golden egg,Therapist,34680,34803,0.4,barter
Battered antique book,Therapist,32144,32373,0.7,barter
Bulbex cable cutter,Therapist,53550,54274,1.4,barter
Ratchet wrench,Therapist,63240,64492,2.0,barter
BTR figurine,Therapist,51000,52294,2.5,barter
Jaeger figurine,Therapist,51000,52912,3.7,barter
Inseq gas pipe wrench,Therapist,19162,20044,4.6,barter
Prapor figurine,Therapist,51000,53773,5.4,barter
Axel parrot figurine,Therapist,26010,27493,5.7,barter
Adrenaline injector,Therapist,16044,16964,5.7,meds
Golden neck chain,Therapist,19470,20626,5.9,barter
Pressure gauge,Therapist,31212,33251,6.5,barter
Perfotoran (Blue Blood) stimulant injector,Therapist,33660,35844,6.5,meds
Bronze lion figurine,Therapist,83096,89134,7.3,barter
Skier figurine,Therapist,51000,54879,7.6,barter
2A2-(b-TG) stimulant injector,Therapist,44604,48008,7.6,meds
Hideout Cat figurine,Therapist,51000,55462,8.7,barter
Armasight Vulcan MG 3.5x Bravo night vision scope,Jaeger,22536,24528,8.8,sights
AMG-10 hydraulic fluid,Therapist,93969,102912,9.5,barter
Nooby Shield potassium iodide tablets,Therapist,65055,71221,9.5,meds
IBX Gigachad cryptographic processor,Therapist,268726,294416,9.6,barter
L1 (Norepinephrine) injector,Therapist,19160,20991,9.6,meds
LEDX Skin Transilluminator,Therapist,494700,543629,9.9,barter
Round pliers,Therapist,13770,15193,10.3,barter
Ultraviolet lamp,Therapist,7932,8764,10.5,barter
Video cassette with the Cyborg Killer movie,Therapist,35190,39079,11.1,barter
Tube of Poxeram cold welding,Therapist,9894,11046,11.6,barter
SwampFox Trihawk Prism Scope 3x30,Jaeger,16771,18757,11.8,sights
Aimpoint CompM4 reflex sight,Mechanic,13446,15030,11.8,sights
Veritas guitar pick,Therapist,28050,31383,11.9,barter
Antique teapot,Therapist,23919,26765,11.9,barter
Hensoldt FF 4-16x56 34mm riflescope,Jaeger,26776,30228,12.9,sights
Car battery,Therapist,31397,35484,13.0,barter
Can of Dr. Lupo's coffee beans,Therapist,26520,29985,13.1,barter
Can of GigaBeef meat,Therapist,21029,23805,13.2,provisions
Antique vase,Therapist,34578,39228,13.4,barter
Trijicon ACOG TA11D 3.5x35 scope,Jaeger,13180,15096,14.5,sights
Fence figurine,Therapist,51000,58568,14.8,barter
Phased array element,Therapist,84660,97299,14.9,barter
Portable defibrillator,Therapist,114546,131985,15.2,barter
OFZ 30x165mm shell,Therapist,28560,32929,15.3,barter
Roler Submariner gold wrist watch,Therapist,36234,41879,15.6,barter
Virtex programmable processor,Therapist,61200,70812,15.7,barter
BakeEzy cook book,Therapist,29580,34210,15.7,barter
SJ9 TGLabs combat stimulant injector,Therapist,45747,52955,15.8,meds
Nippers,Therapist,8670,10047,15.9,barter
Loot Lord plushie,Therapist,42344,49483,16.9,barter
Jar of pickles,Therapist,47651,55806,17.1,barter
